entry_key,metrics_overfit_ratio,metrics_return_per_bar,metrics_test_trade_count,metrics_train_return_per_bar,numeric_entry_params_max_setup_hold_bars,numeric_entry_params_threshold_pct,tbm_params_active_trail_sl,tbm_params_exit_on_close,tbm_params_max_holding_bars,tbm_params_sl_mult,tbm_params_sl_trail_mult,tbm_params_time_decay_mult,tbm_params_time_decay_sl,tbm_params_tp_mult,tbm_params_tp_trail_mult
max_setup_hold_bars=3.0|threshold_pct=0.03,1.175,0.8600373542174934,269,1.0106193089506808,3.0,0.03,True,True,16,6.7,8.799999999999999,6.5,False,1.3000000000000003,0.15000000000000002
max_setup_hold_bars=5.0|threshold_pct=0.03,1.121,0.9128622184875634,380,1.0230816276433596,5.0,0.03,False,True,25,7.000000000000001,8.0,6.4,False,1.0,0.09
max_setup_hold_bars=7.0|threshold_pct=0.03,1.164,0.8428156955056586,418,0.9808277347690051,7.0,0.03,True,True,25,7.800000000000001,9.8,5.5,False,1.0,0.15000000000000002
max_setup_hold_bars=9.0|threshold_pct=0.03,1.206,0.8091615035442352,436,0.9758164634887292,9.0,0.03,False,True,25,6.300000000000001,7.9,0.8,False,1.3000000000000003,0.01
max_setup_hold_bars=11.0|threshold_pct=0.03,1.222,0.7658459825659862,469,0.9360171672691994,11.0,0.03,False,True,22,7.000000000000001,2.3000000000000003,2.8000000000000003,False,1.1,0.08
max_setup_hold_bars=14.0|threshold_pct=0.03,1.219,0.7007663616060129,512,0.8542324125423427,14.0,0.03,False,True,14,6.500000000000001,2.6000000000000005,1.1,False,0.9,0.060000000000000005
max_setup_hold_bars=18.0|threshold_pct=0.03,1.202,0.72033267240676,536,0.8659976834019212,18.0,0.03,True,True,21,5.300000000000001,6.300000000000001,2.6,False,1.0,0.060000000000000005
max_setup_hold_bars=22.0|threshold_pct=0.03,1.271,0.5899984134655972,547,0.7500590368035774,22.0,0.03,True,True,16,4.300000000000001,8.6,2.4000000000000004,False,1.3000000000000003,0.26
max_setup_hold_bars=28.0|threshold_pct=0.03,1.245,0.7297938380863332,578,0.9083769226523198,28.0,0.03,True,True,24,7.7,10.0,3.5000000000000004,False,0.9,0.05
max_setup_hold_bars=35.0|threshold_pct=0.03,1.269,0.6397434427423401,581,0.8115766184623451,35.0,0.03,True,True,25,5.300000000000001,6.800000000000001,2.5000000000000004,False,1.3000000000000003,0.22
max_setup_hold_bars=3.0|threshold_pct=0.04,1.137,1.0473370332584593,202,1.1910562133124734,3.0,0.04,False,True,21,7.000000000000001,3.8000000000000003,2.8000000000000003,False,1.4000000000000001,0.05
