entry_key,metrics_overfit_ratio,metrics_return_per_bar,metrics_test_trade_count,metrics_train_return_per_bar,numeric_entry_params_bb_period,numeric_entry_params_bb_std,numeric_entry_params_max_setup_hold_bars,tbm_params_active_trail_sl,tbm_params_exit_on_close,tbm_params_max_holding_bars,tbm_params_sl_mult,tbm_params_sl_trail_mult,tbm_params_time_decay_mult,tbm_params_time_decay_sl,tbm_params_tp_mult,tbm_params_tp_trail_mult
bb_period=7.0|bb_std=2.0|max_setup_hold_bars=15.0,0.829,0.44509577219315627,579,0.36897636930340505,7.0,2.0,15.0,False,True,8,8.0,6.500000000000001,0.1,False,1.7000000000000002,0.21000000000000002
bb_period=7.0|bb_std=2.0|max_setup_hold_bars=20.0,1.073,0.401455190278231,658,0.4307279739607962,7.0,2.0,20.0,True,True,17,5.1000000000000005,7.000000000000001,1.4000000000000001,True,0.9,0.19
bb_period=7.0|bb_std=2.2|max_setup_hold_bars=3.0,1.036,0.4815003829395112,114,0.49873163465137493,7.0,2.2,3.0,True,True,6,5.2,10.0,4.2,False,1.3000000000000003,0.85
bb_period=7.0|bb_std=2.2|max_setup_hold_bars=5.0,0.718,0.8607852364772929,215,0.6180791003374542,7.0,2.2,5.0,True,True,25,5.2,7.1000000000000005,0.5,False,2.2,0.04
bb_period=7.0|bb_std=2.2|max_setup_hold_bars=7.0,0.934,0.3792907013298285,285,0.35442913164437784,7.0,2.2,7.0,True,True,7,5.800000000000001,7.800000000000001,2.5000000000000004,False,4.0,0.9600000000000001
bb_period=7.0|bb_std=2.2|max_setup_hold_bars=10.0,0.786,0.49176845464087376,388,0.38666681038433937,7.0,2.2,10.0,False,True,5,5.2,4.800000000000001,6.1,False,1.6,0.31
bb_period=7.0|bb_std=2.2|max_setup_hold_bars=15.0,0.904,0.5247204856909031,506,0.47418199185831683,7.0,2.2,15.0,True,True,8,7.9,7.4,3.2,False,1.0,0.15000000000000002
bb_period=7.0|bb_std=2.2|max_setup_hold_bars=20.0,0.987,0.4361564041047626,581,0.43059480148484536,7.0,2.2,20.0,False,True,10,7.000000000000001,6.300000000000001,5.6,False,0.9,0.33
bb_period=7.0|bb_std=2.5|max_setup_hold_bars=3.0,1.018,0.5153389977232731,59,0.5248558771159533,7.0,2.5,3.0,False,True,19,3.8000000000000003,5.4,7.9,False,1.2000000000000002,0.48000000000000004
bb_period=7.0|bb_std=2.5|max_setup_hold_bars=5.0,0.851,0.5393830150366069,132,0.45904394307029617,7.0,2.5,5.0,True,True,21,3.1000000000000005,7.500000000000001,0.6,False,1.6,0.52
bb_period=7.0|bb_std=2.5|max_setup_hold_bars=7.0,0.981,0.42274916760461484,166,0.4146353258420464,7.0,2.5,7.0,True,True,5,4.300000000000001,3.8000000000000003,2.1,False,4.9,0.64
bb_period=7.0|bb_std=2.5|max_setup_hold_bars=10.0,0.725,0.6328859816604355,221,0.4589271651114495,7.0,2.5,10.0,False,True,22,6.4,2.5000000000000004,3.2,False,0.9,0.34
bb_period=7.0|bb_std=2.5|max_setup_hold_bars=15.0,0.785,0.4213485993470385,351,0.3306220922258349,7.0,2.5,15.0,False,True,9,6.9,10.0,1.1,False,1.4000000000000001,0.02
bb_period=7.0|bb_std=2.5|max_setup_hold_bars=20.0,1.189,0.46392276713266195,431,0.5516429132139664,7.0,2.5,20.0,False,True,17,8.0,5.2,2.9000000000000004,False,1.3000000000000003,0.01
bb_period=7.0|bb_std=2.8|max_setup_hold_bars=3.0,0.91,0.7543482512365517,34,0.6863906928429915,7.0,2.8,3.0,True,True,11,4.2,3.4000000000000004,3.6,False,1.2000000000000002,0.02
bb_period=7.0|bb_std=2.8|max_setup_hold_bars=5.0,0.616,0.8305442057067163,68,0.5114573074748097,7.0,2.8,5.0,False,True,12,4.800000000000001,7.1000000000000005,4.7,False,1.8000000000000003,0.01
bb_period=7.0|bb_std=2.8|max_setup_hold_bars=7.0,1.078,0.7469404438905868,93,0.8050709421363359,7.0,2.8,7.0,True,True,11,6.9,3.7,2.0,False,0.8,0.02
bb_period=7.0|bb_std=2.8|max_setup_hold_bars=10.0,1.206,0.41464861530631086,127,0.4999276377509704,7.0,2.8,10.0,False,True,7,3.8000000000000003,5.800000000000001,5.7,False,0.8,0.01
bb_period=7.0|bb_std=2.8|max_setup_hold_bars=15.0,1.806,0.1546542246873916,225,0.2792663262250747,7.0,2.8,15.0,False,True,5,4.5,3.0000000000000004,0.4,True,1.7000000000000002,0.35000000000000003
bb_period=7.0|bb_std=3.2|max_setup_hold_bars=3.0,1.209,0.27052439643886617,16,0.32702795836978993,7.0,3.2,3.0,False,True,21,4.4,3.6000000000000005,1.0,False,2.2,0.18000000000000002
bb_period=7.0|bb_std=3.2|max_setup_hold_bars=5.0,1.102,0.35041382558103695,32,0.38600035043364544,7.0,3.2,5.0,True,True,16,3.4000000000000004,4.7,4.2,False,1.6,0.03
bb_period=7.0|bb_std=3.2|max_setup_hold_bars=7.0,0.542,0.6649084284291549,41,0.3601189140483691,7.0,3.2,7.0,True,True,17,7.000000000000001,5.6000000000000005,0.8,False,1.5000000000000002,0.38
bb_period=7.0|bb_std=3.2|max_setup_hold_bars=10.0,0.601,0.49512519938971583,59,0.2975757550337789,7.0,3.2,10.0,True,True,11,7.7,9.7,0.2,False,1.3000000000000003,0.39
bb_period=7.0|bb_std=3.2|max_setup_hold_bars=15.0,0.939,0.3556308762284141,121,0.3338358353958385,7.0,3.2,15.0,True,True,16,5.1000000000000005,4.2,3.5000000000000004,False,0.8,0.17
bb_period=7.0|bb_std=3.2|max_setup_hold_bars=20.0,1.76,0.22408550295533025,169,0.39433219566604416,7.0,3.2,20.0,False,True,11,6.800000000000001,9.9,3.0000000000000004,False,1.0,0.12
bb_period=7.0|bb_std=3.5|max_setup_hold_bars=3.0,0.714,0.5286075570387117,13,0.37759687636717326,7.0,3.5,3.0,True,True,11,4.2,5.500000000000001,4.3999999999999995,False,1.2000000000000002,0.32
bb_period=7.0|bb_std=3.5|max_setup_hold_bars=5.0,1.281,0.457349863883064,23,0.5857942560109068,7.0,3.5,5.0,False,True,5,5.9,8.1,2.2,False,3.8000000000000003,0.78
bb_period=7.0|bb_std=3.5|max_setup_hold_bars=7.0,1.15,0.4992951020742503,32,0.5741013676622772,7.0,3.5,7.0,True,True,9,4.2,4.4,6.8,False,0.7000000000000001,0.19
bb_period=7.0|bb_std=3.5|max_setup_hold_bars=10.0,1.437,0.2907271125616149,43,0.4177989594889678,7.0,3.5,10.0,False,True,5,4.800000000000001,8.7,4.2,False,2.9000000000000004,0.42000000000000004
bb_period=7.0|bb_std=3.5|max_setup_hold_bars=15.0,1.316,0.2293674753070026,86,0.3019622336521368,7.0,3.5,15.0,True,True,16,6.9,5.7,2.6,True,0.8,0.22
bb_period=7.0|bb_std=3.5|max_setup_hold_bars=20.0,3.002,0.15904496146193337,114,0.4774599979722111,7.0,3.5,20.0,False,True,21,7.000000000000001,7.6000000000000005,3.6,False,1.6,0.17
bb_period=10.0|bb_std=1.5|max_setup_hold_bars=3.0,0.747,0.7949275998756896,188,0.5935076420093656,10.0,1.5,3.0,False,True,20,6.9,9.0,0.7000000000000001,False,1.0,0.42000000000000004
bb_period=10.0|bb_std=1.5|max_setup_hold_bars=5.0,1.008,0.8101248428447254,271,0.8168733821760905,10.0,1.5,5.0,False,True,17,6.7,5.7,1.2000000000000002,False,1.2000000000000002,0.18000000000000002
bb_period=10.0|bb_std=1.5|max_setup_hold_bars=7.0,1.047,0.7059580375344597,338,0.7393486832670183,10.0,1.5,7.0,False,True,25,5.500000000000001,2.0,1.0,False,1.1,0.25
