entry_key,metrics_overfit_ratio,metrics_return_per_bar,metrics_test_trade_count,metrics_train_return_per_bar,numeric_entry_params_atr_factor,numeric_entry_params_atr_period,numeric_entry_params_max_setup_hold_bars,tbm_params_active_trail_sl,tbm_params_exit_on_close,tbm_params_max_holding_bars,tbm_params_sl_mult,tbm_params_sl_trail_mult,tbm_params_time_decay_mult,tbm_params_time_decay_sl,tbm_params_tp_mult,tbm_params_tp_trail_mult
atr_factor=2.0|atr_period=7.0|max_setup_hold_bars=3.0,1.062,1.170629326763284,46,1.2427402462310522,2.0,7.0,3.0,False,True,6,7.6000000000000005,2.5000000000000004,0.8,False,1.9000000000000001,0.06999999999999999
atr_factor=2.0|atr_period=7.0|max_setup_hold_bars=5.0,1.229,0.8603223240744476,83,1.0571167898753577,2.0,7.0,5.0,True,True,24,5.800000000000001,9.5,0.30000000000000004,True,1.3000000000000003,0.01
atr_factor=2.0|atr_period=7.0|max_setup_hold_bars=7.0,1.372,0.7736187197616694,115,1.0615643761477425,2.0,7.0,7.0,False,True,21,8.0,6.000000000000001,3.7,False,1.2000000000000002,0.01
atr_factor=2.0|atr_period=7.0|max_setup_hold_bars=10.0,1.205,0.637441958099034,159,0.7683862686446148,2.0,7.0,10.0,True,True,15,7.000000000000001,5.500000000000001,0.8,False,1.3000000000000003,0.09999999999999999
atr_factor=2.0|atr_period=7.0|max_setup_hold_bars=15.0,1.445,0.5284534703264939,237,0.763811952141927,2.0,7.0,15.0,False,True,25,6.9,2.0,0.4,True,1.1,0.22
atr_factor=2.0|atr_period=7.0|max_setup_hold_bars=20.0,1.549,0.4292873492358902,289,0.665014798233014,2.0,7.0,20.0,False,True,18,4.6000000000000005,2.5000000000000004,5.9,False,0.7000000000000001,0.01
atr_factor=2.5|atr_period=7.0|max_setup_hold_bars=3.0,0.618,2.1486655142489726,25,1.3276312988950771,2.5,7.0,3.0,True,True,17,7.7,5.6000000000000005,3.4000000000000004,False,1.7000000000000002,0.18000000000000002
atr_factor=2.5|atr_period=7.0|max_setup_hold_bars=5.0,0.866,1.2554428658796835,47,1.0866809318584185,2.5,7.0,5.0,False,True,22,6.6000000000000005,0.6000000000000001,6.1,False,0.7000000000000001,0.03
atr_factor=2.5|atr_period=7.0|max_setup_hold_bars=7.0,1.272,0.8640959685595485,71,1.0994747552790993,2.5,7.0,7.0,False,True,7,5.500000000000001,2.6000000000000005,2.5000000000000004,False,1.1,0.05
atr_factor=2.5|atr_period=7.0|max_setup_hold_bars=10.0,1.157,0.7311566437976099,106,0.8456477916871511,2.5,7.0,10.0,False,True,19,4.800000000000001,0.8,2.8000000000000003,False,0.9,0.01
atr_factor=2.5|atr_period=7.0|max_setup_hold_bars=15.0,1.53,0.43399309492316507,177,0.6639969856347974,2.5,7.0,15.0,False,True,8,6.7,4.2,7.5,False,1.0,0.09
atr_factor=2.5|atr_period=7.0|max_setup_hold_bars=20.0,1.268,0.5204578836886375,226,0.6598725705010267,2.5,7.0,20.0,True,True,19,8.0,7.7,0.4,True,1.2000000000000002,0.22
atr_factor=3.0|atr_period=7.0|max_setup_hold_bars=3.0,0.39,3.166323629351614,17,1.2347269837208226,3.0,7.0,3.0,True,True,7,4.9,3.3000000000000003,0.1,True,1.7000000000000002,0.01
atr_factor=3.0|atr_period=7.0|max_setup_hold_bars=5.0,0.599,1.3207222081267451,32,0.7906963691449889,3.0,7.0,5.0,True,True,5,3.2,2.0,1.4000000000000001,False,3.1,0.34
atr_factor=3.0|atr_period=7.0|max_setup_hold_bars=10.0,0.809,0.6778814031424519,73,0.548227355162188,3.0,7.0,10.0,False,True,19,7.000000000000001,7.1000000000000005,0.8,False,1.7000000000000002,0.38
atr_factor=3.0|atr_period=7.0|max_setup_hold_bars=15.0,0.876,0.7266318179030817,124,0.6361673308235869,3.0,7.0,15.0,True,True,20,5.000000000000001,7.500000000000001,3.6,False,1.2000000000000002,0.01
atr_factor=3.0|atr_period=7.0|max_setup_hold_bars=20.0,1.012,0.5391855547615894,174,0.5454352579166405,3.0,7.0,20.0,True,True,19,6.2,7.500000000000001,7.6,False,1.2000000000000002,0.15000000000000002
atr_factor=3.5|atr_period=7.0|max_setup_hold_bars=3.0,0.611,4.7435212687169805,11,2.8999420021908393,3.5,7.0,3.0,False,True,17,6.4,7.300000000000001,6.3,False,1.6,0.01
atr_factor=3.5|atr_period=7.0|max_setup_hold_bars=5.0,2.858,0.49909226066480494,24,1.426173219036845,3.5,7.0,5.0,True,True,6,2.1,3.4000000000000004,7.8,False,5.0,0.48000000000000004
atr_factor=3.5|atr_period=7.0|max_setup_hold_bars=7.0,0.776,1.7557072456189504,32,1.3622941435579383,3.5,7.0,7.0,True,True,4,6.9,6.1000000000000005,4.1,False,4.1,0.23
atr_factor=3.5|atr_period=7.0|max_setup_hold_bars=10.0,1.063,0.8166360971064446,55,0.8682783359807099,3.5,7.0,10.0,False,True,4,3.3000000000000003,7.4,5.5,False,4.3999999999999995,0.99
atr_factor=3.5|atr_period=7.0|max_setup_hold_bars=15.0,1.245,0.5871444845132343,91,0.7307714005336803,3.5,7.0,15.0,False,True,4,7.7,4.5,2.2,False,2.8000000000000003,0.49
atr_factor=3.5|atr_period=7.0|max_setup_hold_bars=20.0,0.997,0.6770355401498477,141,0.6750889206494776,3.5,7.0,20.0,True,True,20,6.500000000000001,4.300000000000001,1.0,False,1.3000000000000003,0.28
atr_factor=3.8|atr_period=7.0|max_setup_hold_bars=5.0,0.47,2.9798652911108867,17,1.3992785622358364,3.8,7.0,5.0,True,True,7,3.5000000000000004,1.7,4.7,False,2.6,0.22
