Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,10862.5625,10949.7421875,10775.3828125,10914.8701171875,4358.5947265625,24743
2015-01-05,10967.177734375,10967.177734375,10487.6904296875,10513.8447265625,4198.455078125,37830
2015-01-06,10461.537109375,10505.126953125,10313.33203125,10400.5107421875,4153.1982421875,40603
2015-01-07,10444.1005859375,10548.716796875,10348.203125,10461.537109375,4177.5673828125,32811
2015-01-08,10566.15234375,10853.8447265625,10522.5625,10853.8447265625,4334.22607421875,40368
2015-01-09,10810.2548828125,10888.7158203125,10749.2294921875,10810.2548828125,4316.81982421875,35969
2015-01-12,10862.5625,10906.15234375,10749.2294921875,10810.2548828125,4316.81982421875,30127
2015-01-13,10836.408203125,11089.2294921875,10792.8193359375,11080.5107421875,4424.740234375,33470
2015-01-14,10906.15234375,11019.4853515625,10749.2294921875,10801.537109375,4313.337890625,38513
2015-01-15,10827.6904296875,11063.0751953125,10662.0498046875,11063.0751953125,4417.77734375,42177
2015-01-16,10993.33203125,10993.33203125,10792.8193359375,10967.177734375,4379.4833984375,32493
2015-01-19,11002.0498046875,11132.818359375,10993.33203125,11080.5107421875,4424.740234375,42437
2015-01-20,11141.537109375,11167.6904296875,11080.5107421875,11141.537109375,4449.1103515625,33545
2015-01-21,11158.97265625,11333.33203125,11080.5107421875,11315.8955078125,4518.73486328125,30845
2015-01-22,11333.33203125,11464.1005859375,11263.587890625,11446.6650390625,4570.955078125,32068
2015-01-23,11507.6904296875,11673.3310546875,11507.6904296875,11542.5625,4609.24951171875,42289
2015-01-26,11516.408203125,11725.6396484375,11307.177734375,11725.6396484375,4682.357421875,23667
2015-01-27,11690.767578125,11751.79296875,11455.3828125,11472.818359375,4581.3994140625,26593
2015-01-28,11455.3828125,11786.6650390625,11455.3828125,11699.4853515625,4671.9130859375,34303
2015-01-29,11568.7158203125,11621.0234375,11446.6650390625,11507.6904296875,4595.32373046875,29106
2015-01-30,11603.587890625,11786.6650390625,11533.8447265625,11664.61328125,4657.98779296875,38183
2015-02-02,11725.6396484375,11751.79296875,11551.2802734375,11647.177734375,4651.02490234375,26538
2015-02-03,11690.767578125,11882.5625,11690.767578125,11882.5625,4745.0205078125,30948
2015-02-04,11882.5625,11882.5625,11629.7421875,11690.767578125,4668.431640625,29493
2015-02-05,11629.7421875,11743.0751953125,11568.7158203125,11743.0751953125,4689.31884765625,22876
2015-02-06,11743.0751953125,11891.2802734375,11716.9208984375,11786.6650390625,4706.72607421875,26306
2015-02-09,11699.4853515625,11751.79296875,11559.998046875,11559.998046875,4616.2119140625,26474
2015-02-10,11577.4345703125,11594.8701171875,11376.9208984375,11385.6396484375,4546.5859375,31632
2015-02-11,11368.203125,11385.6396484375,11089.2294921875,11115.3828125,4438.66552734375,37739
2015-02-12,11106.6650390625,11437.947265625,11106.6650390625,11298.4599609375,4511.77294921875,26002
2015-02-13,11394.357421875,11673.3310546875,11350.767578125,11664.61328125,4657.98779296875,34377
2015-02-16,11673.3310546875,11926.15234375,11594.8701171875,11908.7158203125,4755.46484375,32331
2015-02-17,11838.97265625,12170.2548828125,11821.537109375,12074.357421875,4821.609375,34645
2015-02-18,12091.79296875,12510.2548828125,12091.79296875,12274.8701171875,4901.6796875,51592
2015-02-19,12266.15234375,12388.203125,12091.79296875,12292.3056640625,4908.64111328125,32779
2015-02-20,12222.5625,12405.638671875,12222.5625,12370.767578125,4939.97314453125,29785
2015-02-23,12440.5107421875,12597.43359375,12248.7158203125,12344.61328125,4929.529296875,43298
2015-02-24,12283.587890625,12301.0234375,11952.3056640625,12152.818359375,4852.94091796875,64409
2015-02-25,12675.8955078125,13329.7412109375,12641.0234375,13303.587890625,5312.4736328125,143361
2015-02-26,13364.61328125,13809.228515625,13015.8955078125,13286.1513671875,5305.5107421875,83055
2015-02-27,13294.8701171875,13573.84375,13294.8701171875,13399.4853515625,5350.7685546875,39894
2015-03-02,13504.1005859375,13582.5625,13207.6904296875,13251.2802734375,5291.5849609375,29395
2015-03-03,13251.2802734375,13303.587890625,13120.5107421875,13120.5107421875,5239.36474609375,25723
2015-03-04,13120.5107421875,13120.5107421875,12946.1513671875,13076.9208984375,5221.958984375,17476
2015-03-05,13076.9208984375,13303.587890625,13059.4853515625,13233.84375,5284.62255859375,23008
2015-03-06,13259.998046875,13312.3056640625,13129.228515625,13164.1005859375,5256.77197265625,17319
2015-03-09,13146.6650390625,13443.0751953125,13076.9208984375,13408.203125,5354.24853515625,27083
2015-03-10,13434.3564453125,13443.0751953125,13164.1005859375,13251.2802734375,5291.5849609375,25119
2015-03-11,13251.2802734375,13373.3310546875,13225.1259765625,13321.0234375,5319.4365234375,14647
2015-03-12,13382.048828125,13460.5107421875,13294.8701171875,13355.8955078125,5333.36083984375,19522
2015-03-13,13364.61328125,13460.5107421875,13259.998046875,13259.998046875,5295.06640625,21089
2015-03-16,13338.4599609375,13425.638671875,13294.8701171875,13408.203125,5354.24853515625,14251
2015-03-17,13382.048828125,13495.3828125,13225.1259765625,13251.2802734375,5291.5849609375,23876
2015-03-18,13364.61328125,13434.3564453125,13277.43359375,13399.4853515625,5350.7685546875,21232
2015-03-19,13425.638671875,13582.5625,13399.4853515625,13565.1259765625,5416.91162109375,19526
2015-03-20,13652.3056640625,13791.79296875,13547.6904296875,13791.79296875,5507.42724609375,24578
2015-03-23,13791.79296875,13992.3056640625,13748.203125,13992.3056640625,5587.49560546875,23021
2015-03-24,13948.7158203125,14149.228515625,13948.7158203125,14027.177734375,5601.42138671875,23599
2015-03-25,14035.8955078125,14131.79296875,13966.1513671875,13992.3056640625,5587.49560546875,16612
2015-03-26,13852.818359375,13939.998046875,13756.9208984375,13844.1005859375,5528.314453125,26767
2015-03-27,13966.1513671875,14079.4853515625,13844.1005859375,13974.8701171875,5580.53466796875,25298
2015-03-30,14279.998046875,14341.0234375,14175.3828125,14306.1513671875,5712.82275390625,31116
2015-03-31,12911.2802734375,13033.3310546875,12675.8955078125,12675.8955078125,5870.6337890625,55352
2015-04-01,12797.9462890625,12946.1513671875,12728.203125,12858.97265625,5955.42236328125,32147
2015-04-07,12902.5625,12981.0234375,12867.6904296875,12902.5625,5975.61083984375,26009
2015-04-08,12989.7412109375,13015.8955078125,12902.5625,13015.8955078125,6028.099609375,25635
2015-04-09,13024.61328125,13033.3310546875,12885.1259765625,13015.8955078125,6028.099609375,21448
2015-04-10,13033.3310546875,13050.767578125,12771.79296875,12885.1259765625,5967.5361328125,37306
2015-04-13,12824.1005859375,12841.5361328125,12440.5107421875,12614.8701171875,5842.3701171875,52527
2015-04-14,12379.4853515625,12440.5107421875,12126.6650390625,12213.8447265625,5656.64208984375,67341
2015-04-15,12248.7158203125,12501.5361328125,12222.5625,12431.79296875,5757.5810546875,29057
2015-04-16,12388.203125,12423.0751953125,12231.2802734375,12274.8701171875,5684.9052734375,33987
2015-04-17,12283.587890625,12414.357421875,11952.3056640625,12030.767578125,5571.8525390625,43582
2015-04-20,12030.767578125,12100.5107421875,11899.998046875,12022.0498046875,5567.8154296875,29175
2015-04-21,12039.4853515625,12301.0234375,12039.4853515625,12292.3056640625,5692.9794921875,31041
2015-04-22,12457.947265625,12457.947265625,12135.3828125,12187.6904296875,5644.529296875,41229
2015-04-23,12248.7158203125,12248.7158203125,12048.203125,12048.203125,5579.927734375,30586
2015-04-24,12048.203125,12196.408203125,11830.2548828125,11891.2802734375,5507.25146484375,39622
2015-04-27,11891.2802734375,11961.0234375,11690.767578125,11882.5625,5503.21435546875,46614
2015-04-28,11899.998046875,12013.3310546875,11743.0751953125,11908.7158203125,5515.32763671875,40017
2015-04-29,11952.3056640625,12144.1005859375,11699.4853515625,11716.9208984375,5426.49951171875,40361
2015-04-30,11769.228515625,11769.228515625,11490.2548828125,11516.408203125,5333.63671875,32583
2015-05-04,11603.587890625,11830.2548828125,11568.7158203125,11682.0498046875,5410.34912109375,25128
2015-05-05,11699.4853515625,11838.97265625,11664.61328125,11682.0498046875,5410.34912109375,23331
2015-05-06,11664.61328125,11856.408203125,11533.8447265625,11551.2802734375,5349.78564453125,25133
2015-05-07,11498.97265625,11568.7158203125,11359.4853515625,11542.5625,5345.7490234375,34722
2015-05-08,11673.3310546875,11812.818359375,11551.2802734375,11586.15234375,5365.93701171875,34583
2015-05-11,11586.15234375,11995.8955078125,11586.15234375,11978.4599609375,5547.626953125,36616
2015-05-12,11987.177734375,12004.61328125,11804.1005859375,11830.2548828125,5478.9892578125,41781
2015-05-13,11725.6396484375,11899.998046875,11455.3828125,11777.947265625,5454.763671875,55408
2015-05-18,11934.8701171875,11934.8701171875,11594.8701171875,11673.3310546875,5406.31201171875,32195
2015-05-19,11769.228515625,11821.537109375,11629.7421875,11682.0498046875,5410.34912109375,24419
2015-05-20,11682.0498046875,11716.9208984375,11594.8701171875,11682.0498046875,5410.34912109375,23611
2015-05-21,11621.0234375,11647.177734375,11446.6650390625,11472.818359375,5313.4482421875,30744
2015-05-22,11542.5625,11551.2802734375,11429.2294921875,11429.2294921875,5293.26025390625,18248
2015-05-26,11420.5107421875,11481.537109375,11246.15234375,11246.15234375,5208.470703125,30258
2015-05-27,11246.15234375,11498.97265625,11246.15234375,11490.2548828125,5321.52392578125,32150
