threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,tp_trail_mult,sl_trail_mult,max_holding_bars,time_decay_mult,active_trail_sl,time_decay_sl
0.02,1,-0.422506,-0.051139,0.0,2.061184,0.401473,0.077587,36.536515,-22.893886,-69.418039,1.056061,0.265979,1.0,0.02,485,74.64,3.3546,16.34,1.200875,1.3,8.0,0.08,9.9,36,0.1,True,True
0.02,2,-0.398373,-0.048095,0.0,1.902026,0.376602,0.072112,36.263566,-24.058551,-70.130264,1.057829,0.269492,1.177966,0.02,590,77.29,4.5907,20.2,1.083468,1.5,7.0,0.060000000000000005,8.7,46,0.1,True,True
0.02,3,-0.387508,-0.046135,0.0,1.861651,0.369091,0.070403,36.383553,-23.953366,-69.743244,1.058971,0.261654,1.383459,0.02,665,78.35,3.5843,16.35,0.979646,1.3,6.75,0.24000000000000002,5.9,47,0.7000000000000001,True,True
0.02,4,-0.387397,-0.045277,0.0,1.841343,0.364009,0.069778,36.378821,-24.232803,-69.772739,1.054687,0.260623,1.535411,0.02,706,75.07,2.493,11.42,0.982806,1.1,6.0,0.06999999999999999,5.9,48,1.2000000000000002,True,True
0.02,5,-0.381338,-0.044414,0.0,1.819994,0.358071,0.068865,36.424121,-24.391929,-69.856109,1.056925,0.260929,1.65847,0.02,732,74.86,2.6491,13.45,0.986736,1.2000000000000002,7.25,0.09,5.4,33,0.6,True,True
0.02,6,-0.377809,-0.043995,0.0,1.80587,0.355103,0.068894,36.420821,-24.609972,-69.951006,1.058425,0.264706,1.751337,0.02,748,75.27,2.7799,12.7,0.983527,1.1,5.75,0.17,6.300000000000001,33,0.1,True,True
0.02,7,-0.380697,-0.043914,0.0,1.790143,0.353234,0.068691,36.47806,-24.537892,-69.802267,1.057283,0.263364,1.881356,0.02,767,78.36,3.9443,18.53,1.02198,1.4,7.0,0.16,7.1000000000000005,45,0.1,True,True
0.02,8,-0.379986,-0.043416,0.0,1.748154,0.349027,0.06833,36.515093,-24.758078,-69.939933,1.05347,0.257614,2.044416,0.02,788,75.63,2.7563,15.65,0.989681,1.3,5.75,0.01,7.000000000000001,42,0.5,True,True
0.02,9,-0.377359,-0.042994,0.0,1.741224,0.348068,0.068074,36.563257,-24.811734,-69.879152,1.056241,0.259724,2.122961,0.02,797,74.28,2.7701,16.02,0.935923,1.3,8.0,0.26,6.9,36,0.1,True,True
0.02,10,-0.376451,-0.042702,0.0,1.727274,0.346163,0.067798,36.625582,-24.805875,-69.750905,1.056145,0.26087,2.201242,0.02,805,76.27,2.4592,12.95,1.006475,1.0,7.25,0.04,6.6000000000000005,38,0.4,True,True
0.02,12,-0.372948,-0.042116,0.0,1.715879,0.341831,0.067236,36.615025,-25.145767,-70.075931,1.058486,0.25944,2.381242,0.02,821,72.23,2.1838,12.68,0.838725,1.3,4.5,0.02,7.7,37,0.8,True,True
0.02,14,-0.372653,-0.041727,0.0,1.701761,0.339481,0.066929,36.634716,-25.426694,-70.394518,1.057662,0.259304,2.541417,0.02,833,77.19,3.3499,17.79,0.98839,1.4,6.0,0.08,6.6000000000000005,43,0.1,True,True
0.02,16,-0.369549,-0.041098,0.0,1.680124,0.334958,0.066358,36.629947,-25.965541,-70.902106,1.06171,0.259086,2.845252,0.02,853,71.51,3.0026,16.91,0.91761,1.5,7.25,0.05,8.799999999999999,33,0.1,True,True
0.02,18,-0.366416,-0.040755,0.0,1.669956,0.332308,0.066009,36.634082,-26.194478,-71.092499,1.064843,0.261574,3.032407,0.02,864,76.97,2.4702,13.87,0.961356,1.1,6.5,0.01,9.8,45,0.6,True,True
0.02,20,-0.375324,-0.041078,0.0,1.658745,0.330632,0.06734,36.624581,-26.414804,-71.329494,1.071391,0.263761,3.181193,0.02,872,77.18,2.8999,15.22,1.016546,1.1,6.75,0.05,9.1,46,0.1,True,True
0.02,22,-0.374256,-0.040898,0.0,1.656497,0.329599,0.067195,36.670296,-26.401037,-71.370731,1.073125,0.265678,3.286203,0.02,877,75.03,2.4217,14.88,0.9568,1.2000000000000002,7.75,0.05,6.300000000000001,40,0.7000000000000001,True,True
0.02,25,-0.371771,-0.040609,0.0,1.65219,0.327946,0.06698,36.68109,-26.58465,-71.532495,1.076861,0.268623,3.5,0.02,886,76.52,2.4748,12.73,0.807126,1.0,5.0,0.29000000000000004,5.2,50,0.6,True,True
0.02,28,-0.370093,-0.040381,0.0,1.648574,0.326377,0.066719,36.666801,-26.780313,-71.673936,1.08178,0.272116,3.68645,0.02,893,65.96,2.3639,8.07,0.773861,1.1,5.5,0.06999999999999999,6.9,32,2.3000000000000003,True,True
0.02,30,-0.369965,-0.040198,0.0,1.641875,0.324858,0.066569,36.642189,-27.021512,-71.889891,1.09095,0.276667,3.886667,0.02,900,73.33,2.5804,15.48,0.97181,1.3,6.75,0.01,8.0,35,0.30000000000000004,True,True
0.02,35,-0.368073,-0.03988,0.0,1.62538,0.322551,0.066337,36.64578,-27.24355,-72.147384,1.095445,0.28101,4.234907,0.02,911,76.51,2.4427,13.04,0.882281,1.0,8.0,0.21000000000000002,5.9,49,0.9,True,True
0.02,40,-0.365267,-0.039519,0.0,1.624512,0.320325,0.066175,36.656678,-27.445831,-72.271899,1.10688,0.287107,4.668472,0.02,923,76.71,2.9499,17.21,0.93676,1.3,5.75,0.08,5.7,48,0.30000000000000004,True,True
0.02,45,-0.364577,-0.039432,0.0,1.622824,0.319702,0.06607,36.648166,-27.526958,-72.313589,1.107375,0.288337,4.789417,0.02,926,72.14,2.2952,14.72,0.891766,1.3,6.75,0.16,6.9,32,0.5,True,True
0.02,50,-0.363841,-0.03929,0.0,1.619196,0.319059,0.065988,36.629939,-27.701007,-72.42049,1.108861,0.290011,5.023631,0.02,931,67.45,2.5806,13.44,0.720068,1.5,6.5,0.42000000000000004,7.4,21,0.2,True,True
0.03,1,-0.477073,-0.056165,0.0,2.326197,0.43951,0.085359,36.114441,-24.524185,-71.16523,1.102844,0.297376,1.0,0.03,343,77.55,4.2659,16.24,1.313694,1.3,6.25,0.03,6.7,48,0.8,True,True
0.03,2,-0.43919,-0.052171,0.0,2.150929,0.409739,0.079269,35.74763,-26.184261,-71.658599,1.100081,0.310185,1.206019,0.03,432,72.45,3.2098,9.62,1.059887,1.1,7.75,0.01,5.4,26,1.3000000000000003,True,True
0.03,3,-0.426708,-0.049576,0.0,2.037115,0.392333,0.075965,35.772294,-26.517644,-71.514051,1.109723,0.298872,1.543233,0.03,532,76.88,3.2557,13.15,1.057325,1.1,8.0,0.17,8.9,36,0.5,True,True
0.03,4,-0.421345,-0.047693,0.0,1.961976,0.381005,0.073929,35.71849,-27.043883,-71.680079,1.098711,0.293718,1.780985,0.03,589,75.21,3.6073,15.39,1.114982,1.4,7.25,0.01,5.9,35,0.5,True,True
0.03,5,-0.412931,-0.046022,0.0,1.910366,0.370236,0.072304,35.919014,-27.001041,-71.391575,1.091241,0.288217,1.980892,0.03,628,74.36,2.9627,15.35,0.943969,1.4,7.25,0.19,9.1,39,0.9,True,True
0.03,6,-0.405504,-0.045209,0.0,1.896817,0.363856,0.071907,35.956457,-27.234704,-71.665977,1.100973,0.290769,2.116923,0.03,650,74.77,2.5579,8.9,0.948492,0.9,6.75,0.060000000000000005,9.1,20,0.1,True,True
0.03,7,-0.406235,-0.044917,0.0,1.866941,0.360869,0.071389,36.008297,-27.273488,-71.612408,1.103878,0.294643,2.276786,0.03,672,61.01,2.5802,7.64,0.797653,1.2000000000000002,7.5,0.01,8.0,45,4.8,True,True
0.03,8,-0.401111,-0.044034,0.0,1.825026,0.355527,0.070551,36.083723,-27.474376,-71.60584,1.104973,0.292507,2.458213,0.03,694,72.77,2.2783,8.73,0.880248,0.9,8.0,0.08,7.7,46,2.1,True,True
0.03,9,-0.397528,-0.043532,0.0,1.809139,0.35323,0.0701,36.12494,-27.517569,-71.576268,1.105032,0.293201,2.569405,0.03,706,78.33,3.01,14.11,1.021858,1.0,6.25,0.04,7.9,48,0.1,True,True
