threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,tp_trail_mult,sl_trail_mult,max_holding_bars,active_trail_sl,time_decay_sl
0.03,11,-0.393594,-0.042799,0.0,1.787333,0.347034,0.069348,36.109887,-27.958494,-71.894389,1.101364,0.290411,2.831507,0.03,730,72.88,2.3284,9.33,0.886433,1.0,4.5,0.02,5.0,20,True,False
0.04,1,-0.539591,-0.063052,0.0,2.557525,0.485741,0.094368,35.79246,-25.764855,-71.917287,1.123767,0.3125,1.0,0.04,240,70.0,4.4163,7.11,1.265152,1.3,4.5,0.06999999999999999,5.25,9,True,False
0.03,12,-0.390615,-0.042386,0.0,1.779917,0.344241,0.068896,36.08613,-28.202087,-72.039338,1.108507,0.291892,2.955405,0.03,740,71.35,2.3862,8.94,0.845187,1.0,4.25,0.08,6.0,18,True,False
0.03,13,-0.391802,-0.042222,0.0,1.775235,0.343376,0.068784,36.0972,-28.332325,-72.200887,1.108591,0.292617,3.022819,0.03,745,70.2,2.659,7.96,0.851316,1.1,4.5,0.03,5.0,13,True,False
0.03,14,-0.389045,-0.041899,0.0,1.761873,0.340788,0.068384,36.103609,-28.522791,-72.382082,1.107133,0.292165,3.139442,0.03,753,70.92,2.4405,9.12,0.882953,1.1,4.75,0.01,5.5,17,True,False
0.04,2,-0.476349,-0.056605,0.0,2.34196,0.437464,0.08478,35.259409,-28.111757,-72.743951,1.138507,0.331269,1.256966,0.04,323,74.3,4.0287,11.85,1.192783,1.4,5.0,0.01,6.0,20,True,False
0.03,15,-0.386932,-0.041446,0.0,1.744816,0.337173,0.067951,36.107917,-28.824962,-72.671462,1.113138,0.294654,3.355932,0.03,767,70.66,2.3296,11.27,0.844635,1.3,4.75,0.02,5.75,20,True,False
0.04,3,-0.460914,-0.053201,0.0,2.182902,0.41413,0.080774,35.376953,-28.524336,-72.712357,1.146866,0.320482,1.643373,0.04,415,70.36,3.8063,8.46,1.098635,1.3,5.0,0.01,6.0,12,True,False
0.04,4,-0.448848,-0.050408,0.0,2.095167,0.39744,0.077873,35.261207,-29.331047,-72.793221,1.147154,0.313808,1.953975,0.04,478,74.69,3.7808,10.88,1.096338,1.3,4.75,0.09,5.75,19,True,False
0.04,5,-0.439138,-0.048386,0.0,2.019512,0.382419,0.075861,35.442727,-29.333265,-72.648504,1.134596,0.302682,2.210728,0.04,522,72.03,3.8475,11.18,1.080621,1.4,5.0,0.01,5.5,19,True,False
0.04,6,-0.429648,-0.047061,0.0,1.987466,0.373472,0.07499,35.56523,-29.443158,-72.746739,1.130359,0.301818,2.403636,0.04,550,71.64,3.4415,9.9,1.023363,1.3,4.75,0.01,6.0,16,True,False
0.04,7,-0.429141,-0.0465,0.0,1.947768,0.367691,0.074152,35.572956,-29.68366,-72.753331,1.135043,0.307427,2.633851,0.04,579,72.88,3.1211,9.01,0.992238,1.1,5.0,0.01,5.25,17,True,False
0.04,8,-0.424439,-0.045884,0.0,1.926527,0.365304,0.07336,35.553048,-29.996142,-72.969105,1.140285,0.306533,2.795645,0.04,597,69.68,3.4707,10.22,0.931536,1.4,5.0,0.04,5.25,16,True,False
0.04,9,-0.420216,-0.04498,0.0,1.88603,0.360885,0.072769,35.635105,-30.243795,-72.871943,1.141563,0.306947,3.016155,0.04,619,69.63,2.9542,9.92,0.906824,1.3,4.5,0.03,5.25,16,True,False
0.04,10,-0.417222,-0.04455,0.0,1.875952,0.357216,0.072297,35.669928,-30.32167,-72.883576,1.139673,0.306349,3.138095,0.04,630,70.63,2.9414,7.59,0.887095,1.1,4.75,0.01,5.0,12,True,False
0.04,11,-0.416099,-0.044223,0.0,1.868295,0.353825,0.071931,35.64774,-30.56717,-73.0908,1.137765,0.304212,3.273011,0.04,641,70.05,2.886,7.58,0.879451,1.1,4.5,0.01,6.0,12,True,False
0.05,1,-0.592463,-0.069805,0.0,2.783226,0.532752,0.102663,34.94432,-28.162761,-73.505495,1.196577,0.351955,1.0,0.05,179,77.09,5.2975,11.03,1.468189,1.3,4.75,0.17,6.0,19,True,False
0.04,12,-0.411139,-0.043542,0.0,1.841107,0.34883,0.071119,35.632105,-30.894609,-73.314373,1.143557,0.305936,3.48554,0.04,657,71.69,2.9629,11.28,0.912246,1.3,5.0,0.06999999999999999,6.0,20,True,False
0.04,13,-0.41147,-0.043267,0.0,1.833989,0.347045,0.07085,35.627011,-31.124045,-73.54619,1.144922,0.308735,3.585843,0.04,664,68.83,2.8579,10.29,0.908882,1.3,5.0,0.01,5.75,17,True,False
0.05,2,-0.525213,-0.061289,0.0,2.501412,0.471932,0.091253,35.116034,-28.633509,-72.556823,1.196564,0.353414,1.281124,0.05,249,69.08,3.9092,9.58,1.164261,1.4,5.0,0.13,5.5,14,True,False
