threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,max_holding_bars
0.02,12,-0.372948,-0.042116,0.0,1.715879,0.341831,0.067236,36.615025,-25.145767,-70.075931,1.058486,0.25944,2.381242,0.02,821,78.08,3.4481,18.11,1.053068,1.3,8.0,47
0.02,14,-0.372653,-0.041727,0.0,1.701761,0.339481,0.066929,36.634716,-25.426694,-70.394518,1.057662,0.259304,2.541417,0.02,833,78.27,2.9121,15.78,1.020851,1.15,6.25,47
0.02,16,-0.369549,-0.041098,0.0,1.680124,0.334958,0.066358,36.629947,-25.965541,-70.902106,1.06171,0.259086,2.845252,0.02,853,77.37,2.6061,13.7,0.991591,1.0,6.25,43
0.02,18,-0.366416,-0.040755,0.0,1.669956,0.332308,0.066009,36.634082,-26.194478,-71.092499,1.064843,0.261574,3.032407,0.02,864,76.62,2.5159,14.13,0.973541,1.05,6.0,44
0.02,20,-0.375324,-0.041078,0.0,1.658745,0.330632,0.06734,36.624581,-26.414804,-71.329494,1.071391,0.263761,3.181193,0.02,872,74.43,2.3871,11.7,0.994466,1.0,7.5,29
0.02,22,-0.374256,-0.040898,0.0,1.656497,0.329599,0.067195,36.670296,-26.401037,-71.370731,1.073125,0.265678,3.286203,0.02,877,78.22,3.0804,17.41,1.025482,1.2000000000000002,7.25,50
0.02,25,-0.371771,-0.040609,0.0,1.65219,0.327946,0.06698,36.68109,-26.58465,-71.532495,1.076861,0.268623,3.5,0.02,886,77.31,3.1693,17.5,1.032751,1.25,7.75,46
0.02,28,-0.370093,-0.040381,0.0,1.648574,0.326377,0.066719,36.666801,-26.780313,-71.673936,1.08178,0.272116,3.68645,0.02,893,77.38,2.845,13.86,1.01402,1.0,6.0,46
0.02,30,-0.369965,-0.040198,0.0,1.641875,0.324858,0.066569,36.642189,-27.021512,-71.889891,1.09095,0.276667,3.886667,0.02,900,75.89,2.744,16.58,0.999606,1.25,6.75,42
0.02,35,-0.368073,-0.03988,0.0,1.62538,0.322551,0.066337,36.64578,-27.24355,-72.147384,1.095445,0.28101,4.234907,0.02,911,76.62,2.8626,17.59,0.998498,1.3,7.25,44
0.02,40,-0.365267,-0.039519,0.0,1.624512,0.320325,0.066175,36.656678,-27.445831,-72.271899,1.10688,0.287107,4.668472,0.02,923,78.33,2.8268,15.05,1.023059,1.0,8.0,50
0.02,45,-0.364577,-0.039432,0.0,1.622824,0.319702,0.06607,36.648166,-27.526958,-72.313589,1.107375,0.288337,4.789417,0.02,926,78.19,3.0985,17.9,1.003437,1.25,7.0,50
0.02,50,-0.363841,-0.03929,0.0,1.619196,0.319059,0.065988,36.629939,-27.701007,-72.42049,1.108861,0.290011,5.023631,0.02,931,77.44,2.6817,14.62,0.99984,1.0,8.0,47
0.03,1,-0.477073,-0.056165,0.0,2.326197,0.43951,0.085359,36.114441,-24.524185,-71.16523,1.102844,0.297376,1.0,0.03,343,76.97,4.4427,15.21,1.354448,1.1,8.0,46
0.03,2,-0.43919,-0.052171,0.0,2.150929,0.409739,0.079269,35.74763,-26.184261,-71.658599,1.100081,0.310185,1.206019,0.03,432,79.63,4.326,15.59,1.230223,1.1,8.0,50
0.03,3,-0.426708,-0.049576,0.0,2.037115,0.392333,0.075965,35.772294,-26.517644,-71.514051,1.109723,0.298872,1.543233,0.03,532,79.89,4.0267,16.35,1.202803,1.15,8.0,50
0.03,4,-0.421345,-0.047693,0.0,1.961976,0.381005,0.073929,35.71849,-27.043883,-71.680079,1.098711,0.293718,1.780985,0.03,589,80.14,4.3742,17.76,1.189841,1.3,6.75,50
0.03,5,-0.412931,-0.046022,0.0,1.910366,0.370236,0.072304,35.919014,-27.001041,-71.391575,1.091241,0.288217,1.980892,0.03,628,79.14,3.9019,17.76,1.136411,1.25,7.5,50
0.03,6,-0.405504,-0.045209,0.0,1.896817,0.363856,0.071907,35.956457,-27.234704,-71.665977,1.100973,0.290769,2.116923,0.03,650,79.23,3.5915,15.26,1.121968,1.1,8.0,50
0.03,7,-0.406235,-0.044917,0.0,1.866941,0.360869,0.071389,36.008297,-27.273488,-71.612408,1.103878,0.294643,2.276786,0.03,672,79.32,3.5922,15.3,1.107367,1.1,8.0,50
0.03,8,-0.401111,-0.044034,0.0,1.825026,0.355527,0.070551,36.083723,-27.474376,-71.60584,1.104973,0.292507,2.458213,0.03,694,76.08,2.6498,14.82,1.058933,1.15,8.0,39
0.03,9,-0.397528,-0.043532,0.0,1.809139,0.35323,0.0701,36.12494,-27.517569,-71.576268,1.105032,0.293201,2.569405,0.03,706,78.19,3.5696,17.03,1.042458,1.3,6.0,46
0.03,10,-0.395241,-0.043176,0.0,1.797957,0.350652,0.069737,36.143112,-27.656126,-71.594743,1.102423,0.291492,2.683403,0.03,717,77.82,3.0464,16.11,1.058672,1.15,8.0,46
0.03,12,-0.390615,-0.042386,0.0,1.779917,0.344241,0.068896,36.08613,-28.202087,-72.039338,1.108507,0.291892,2.955405,0.03,740,77.84,2.8962,13.68,1.025132,1.05,6.75,43
0.03,14,-0.389045,-0.041899,0.0,1.761873,0.340788,0.068384,36.103609,-28.522791,-72.382082,1.107133,0.292165,3.139442,0.03,753,77.56,3.481,18.56,1.018696,1.4,8.0,45
0.03,16,-0.383544,-0.041008,0.0,1.730366,0.334582,0.067594,36.119888,-29.10512,-72.899524,1.111614,0.294344,3.534704,0.03,778,77.89,3.1878,18.12,0.992993,1.3,6.75,50
0.03,18,-0.380823,-0.040686,0.0,1.715758,0.33166,0.067215,36.105175,-29.398647,-73.213101,1.116282,0.297845,3.726236,0.03,789,74.14,2.3999,15.54,0.963136,1.25,6.5,39
0.03,20,-0.388637,-0.040813,0.0,1.693351,0.328124,0.068374,36.09141,-29.752193,-73.597228,1.121854,0.300995,4.017413,0.03,804,77.61,2.8139,14.77,1.044228,1.0,8.0,50
0.03,22,-0.386444,-0.040506,0.0,1.687078,0.326072,0.068052,36.136038,-29.840454,-73.600012,1.127384,0.306273,4.210332,0.03,813,73.68,2.3442,12.15,0.993698,1.05,8.0,31
0.03,25,-0.382807,-0.040095,0.0,1.682484,0.323561,0.067659,36.123631,-30.133052,-73.821199,1.131548,0.309091,4.493333,0.03,825,75.88,2.6591,15.65,1.018228,1.15,8.0,42
0.03,28,-0.380283,-0.039788,0.0,1.680521,0.321482,0.067292,36.108583,-30.373721,-74.00989,1.140659,0.314149,4.741007,0.03,834,77.22,2.7171,16.17,1.025043,1.15,8.0,45
0.03,30,-0.378902,-0.039433,0.0,1.666323,0.318621,0.067028,36.078654,-30.752184,-74.455426,1.150846,0.320755,5.150943,0.03,848,76.42,2.6193,14.24,1.006568,1.05,8.0,43
0.03,35,-0.376354,-0.039061,0.0,1.647185,0.315927,0.066712,36.082108,-31.002175,-74.71049,1.156201,0.326365,5.570267,0.03,861,75.84,3.3195,19.04,0.960251,1.4500000000000002,7.0,45
0.03,40,-0.37404,-0.038758,0.0,1.649325,0.314141,0.066625,36.093717,-31.13649,-74.801125,1.16529,0.330275,5.973624,0.03,872,76.83,3.1384,18.37,0.962277,1.35,6.5,50
0.03,45,-0.372278,-0.038564,0.0,1.643697,0.312752,0.066377,36.080243,-31.28101,-74.878123,1.168992,0.334471,6.263936,0.03,879,76.0,2.5339,14.21,0.98771,1.05,8.0,43
0.03,50,-0.371176,-0.03837,0.0,1.638231,0.311744,0.066203,36.066579,-31.425998,-75.008923,1.169468,0.334086,6.591422,0.03,886,74.15,2.6745,17.46,0.973686,1.35,8.0,41
0.04,1,-0.539591,-0.063052,0.0,2.557525,0.485741,0.094368,35.79246,-25.764855,-71.917287,1.123767,0.3125,1.0,0.04,240,78.33,5.1988,17.29,1.581127,1.25,7.0,46
0.04,2,-0.476349,-0.056605,0.0,2.34196,0.437464,0.08478,35.259409,-28.111757,-72.743951,1.138507,0.331269,1.256966,0.04,323,79.57,5.1823,18.07,1.339435,1.35,6.0,46
